"","date","demand","coal","nuclear","ccgt","wind","pumped","hydro","total_other"
"29",2013 Sep,33095.7724004799,13250.349771053,7192.40872955529,8059.86824310624,1775.4296397675,322.73714770884,258.2987581103,1907.48321928224
"30",2013 Oct,34508.033938172,14269.0213933692,7402.20374103943,7464.65109767025,2628.8146281362,315.537298387097,389.398297491039,1438.75403225806
"31",2013 Nov,38831.2352875244,14958.1123562378,7499.51143762183,10299.7613170078,2696.3905787037,331.305903996101,508.315420321637,1980.47927509747
"32",2013 Dec,38510.5469279986,14661.6835436774,8093.54597664518,8307.5939484891,3820.19547182737,372.445774266133,664.453039906272,1910.05822237619
"33",2014 Jan,39658.8640849583,15717.0839757192,7645.17599670721,8227.90937217364,3446.14432620633,381.194033605174,720.745912562912,2955.45203767261
"34",2014 Feb,38986.4040566259,15074.8887787412,7081.10147456367,8166.93899225817,4090.91953254478,351.334755355095,731.345429707414,2983.42528478788
"35",2014 Mar,36661.1878663293,14467.7090238246,6655.54499525617,8594.53823661185,2719.25795514442,348.823857526882,702.54928183639,2641.68280887624
"36",2014 Apr,33609.558912037,12591.5596064815,7306.05335648148,7131.16909722222,2047.55335648148,294.691666666667,501.788888888889,3252.54212962963
"37",2014 May,32011.9479252826,9783.08243179312,7232.88960714465,9268.62582243026,1617.5169921924,294.206907787553,285.749904441437,3073.52078868712
"38",2014 Jun,31164.3886940448,6583.70236977085,7865.65126232347,11957.198398781,938.260151878497,286.950267286171,193.244414468425,2913.6579636291
"39",2014 Jul,31223.3821470962,5422.48317234965,7322.27914519541,12965.1629929652,1337.7446027647,287.127524149523,110.590317408835,3467.77912400531
"40",2014 Aug,29966.023297491,5429.54525089606,6531.24540770609,11439.0210573477,2311.79625896057,261.158154121864,317.921370967742,3391.97558243728
"41",2014 Sep,32465.0416666667,10859.7375,6114.26122685185,10694.5475694444,1025.74606481481,275.253935185185,217.409490740741,2839.18946759259
"42",2014 Oct,33606.2549480184,10987.2858302593,5152.32762835205,10365.8397991746,3154.14252180486,336.086506258226,406.678939531805,2803.85028653902
"43",2014 Nov,36677.8367859544,12972.6275939619,5317.93739931934,11027.8332971321,2512.64611965497,344.091400398251,598.816106973293,3451.7791236885
"44",2014 Dec,37449.7202284331,12818.9797124431,7634.04178361801,8614.45785335166,3848.18088489109,365.256589494895,606.262881396199,3182.46788101635
"45",2015 Jan,38812.3278449821,13269.3515905018,8280.35987903226,8767.92495519713,3968.08154121864,354.903673835125,722.415994623656,3000.04715501792
"46",2015 Feb,39278.7767857143,13705.3976934524,8145.96143353175,9971.41294642857,2974.19332837302,332.149801587302,586.802455357143,3146.42509920635
"47",2015 Mar,36230.3195564516,12942.053203405,7104.25660842294,8639.85495071685,3056.68682795699,306.331765232975,587.898857526882,3228.86245519713
"48",2015 Apr,32021.6370054714,9893.08693667444,7311.01034301347,8314.6250469438,1900.65616501554,278.450499384874,451.426591232841,3550.01502201502
