"","date","demand","coal","nuclear","ccgt","wind","pumped","hydro","total_other"
"1",2011-05-27,34138.1632653061,7218.79591836735,8286.21428571429,15106.4897959184,1840.45918367347,230.408163265306,543.867346938776,521.265306122449
"2",2011-05-28,30304.543554007,6394.38327526132,8465.93379790941,11286.4668989547,2141.26829268293,277.066202090592,503.313588850174,897.595818815331
"3",2011-05-29,29053.7673611111,4738.45486111111,8754.18055555555,11385.5173611111,2029.38194444444,242.451388888889,512.392361111111,1088.64583333333
"4",2011-05-30,31449.0696864111,6864.82229965157,8815.51916376307,13948.0905923345,532.843205574913,356.585365853659,583.540069686411,203.442508710801
"5",2011-05-31,34366.3344947735,8849.49825783972,8302.26480836237,15253.4529616725,700.177700348432,328.954703832753,483.905923344948,236.850174216028
"6",2011-06-01,34679.6027874564,8928.20905923345,8219.66550522648,14552.7177700348,1592.17073170732,284.038327526132,473.93031358885,414.494773519164
"7",2011-06-02,34877.3473684211,8708.08070175439,8268.02456140351,14636.1052631579,693.20701754386,394.39649122807,466.775438596491,1330.4
"8",2011-06-03,33899.7212543554,8201.15679442509,8563.29616724739,14635.1219512195,718.317073170732,400.313588850174,430.010452961672,593.170731707317
"9",2011-06-04,30285.2648083624,5665.08362369338,8808.43554006969,12465.7909407666,1056.1149825784,251.174216027875,362.885017421603,1349.42857142857
"10",2011-06-05,29877.2264808362,5864.36585365854,8814.04181184669,11819.9930313589,1050.1393728223,292.313588850174,383.839721254355,1315.45644599303
"11",2011-06-06,35228.9826388889,9585.01388888889,8790.24305555555,15034.6979166667,435.28125,365.03125,339.46875,244.888888888889
"12",2011-06-07,35452.3715277778,10290.3020833333,8755.17708333333,14736.3194444444,669.024305555556,248.246527777778,282.631944444444,161.729166666667
"13",2011-06-08,34965.9791666667,9378.71180555555,8227.3125,15206.1319444444,635.263888888889,326.524305555556,321.722222222222,487.166666666667
"14",2011-06-09,34972.8645833333,9457.96527777778,8091.16666666667,15021.4791666667,828.732638888889,243.697916666667,368.322916666667,588.166666666667
"15",2011-06-10,34749.625,10083.1597222222,7770.44791666667,14941.5451388889,226.784722222222,330.333333333333,359.291666666667,579.340277777778
"16",2011-06-11,30756.4270833333,8327.08333333333,7840.97222222222,12032.8506944444,247.263888888889,274.934027777778,346.072916666667,1328.16666666667
"17",2011-06-12,30472.6770833333,7009.84722222222,8231.11805555555,11911.7048611111,809.805555555556,337.006944444444,322.857638888889,1513.64583333333
"18",2011-06-13,34558.34375,8265.13888888889,8187.96527777778,14281.2986111111,1486.43055555556,391.451388888889,337.03125,1289.16666666667
"19",2011-06-14,35197.375,9585.95486111111,8209.72916666667,15631.2638888889,544.125,242.486111111111,293.368055555556,388.1875
"20",2011-06-15,35491.8090277778,10729.0208333333,8044.60416666667,15131.6284722222,535.694444444444,280.440972222222,300.923611111111,227.305555555556
"21",2011-06-16,34829.8993055556,10735.3402777778,7869.11805555556,14755.3020833333,511.677083333333,206.725694444444,238.732638888889,265.861111111111
"22",2011-06-17,34203.6933797909,9207.11846689896,7869.88153310105,14605.1114982578,1039.99651567944,264.334494773519,235.912891986063,657.05574912892
"23",2011-06-18,30385.2777777778,7083.25347222222,7700.94791666667,12488.0173611111,801.097222222222,308.930555555556,259.211805555556,1376.02083333333
"24",2011-06-19,29600.9305555556,6252.74305555556,7825.56944444444,12378.5694444444,770.579861111111,288.944444444444,274.534722222222,1472.6875
"25",2011-06-20,35000.0451388889,9992.07986111111,8025.01736111111,14761.3229166667,237.600694444444,395.989583333333,270.548611111111,955.791666666667
"26",2011-06-21,36173.2708333333,10511.4618055556,8071.14236111111,14344.6840277778,805.663194444444,288.711805555556,276.993055555556,392.892361111111
"27",2011-06-22,35165.6354166667,10143.4027777778,8107.54861111111,14235.8923611111,821.701388888889,353.986111111111,318.09375,791.076388888889
"28",2011-06-23,34976.9860627178,9998.48083623693,8013.73519163763,13932.4843205575,634.662020905923,250.83275261324,316.491289198606,1456.37979094077
"29",2011-06-24,34074.1840277778,9070.95833333333,7772.99652777778,14574.3993055556,472.267361111111,237.767361111111,278.767361111111,1266.23263888889
"30",2011-06-25,30432.2986111111,6952.59722222222,7579.51736111111,12601.4166666667,994.729166666667,269.895833333333,257.246527777778,1424.19444444444
"31",2011-06-26,29655.3368055556,5805.65972222222,7928.09722222222,12684.7777777778,920.28125,268.506944444444,257.194444444444,1547.53472222222
"32",2011-06-27,35809.7714285714,9652.51785714286,8164.36785714286,15762.575,491.682142857143,539.592857142857,334.621428571429,625.75
"33",2011-06-28,35357.1766784452,9287.09187279152,7703.87279151943,16492.6254416961,339.575971731449,309.399293286219,254.710247349823,727.17667844523
"34",2011-06-29,34366.2881944444,9771.72222222222,6805.89583333333,15917.4479166667,395.090277777778,237.40625,242.364583333333,773.208333333333
"35",2011-06-30,34071.2569444444,9653.77777777778,6755.96527777778,15136.9270833333,471.739583333333,259.538194444444,252.961805555556,1327.01388888889
"36",2011-07-01,33389.7222222222,9619.12847222222,6574.51388888889,15159.2256944444,123.565972222222,255.795138888889,246.368055555556,1175.80902777778
"37",2011-07-02,29751.8118466899,6584.14982578397,6488.26480836237,14193.6620209059,61.4146341463415,288.675958188153,232.80487804878,1689.64459930314
"38",2011-07-03,29236.6319444444,6716.05208333333,6430.37152777778,13642.7847222222,74.4027777777778,198.222222222222,226.006944444444,1745.59027777778
"39",2011-07-04,34321.6805555556,9604.15625,6578.35069444444,16544.3159722222,396.777777777778,340.881944444444,216.163194444444,449.833333333333
