"","date","demand","coal","nuclear","ccgt","wind","pumped","hydro","total_other"
"1",2011 May,31.8623756723218,6.81319092244621,8.52482252226094,13.3960035219982,1.44882606534484,0.28709316478624,0.525403857986284,0.589559928239589
"2",2011 Jun,33.6522556240393,8.80657665034265,8.03386243475093,14.2236734100127,0.707889972077663,0.304765038861794,0.315250569290222,0.895653017298026
"3",2011 Jul,32.535860978346,7.41251901172741,7.12856931572394,15.43922678577,0.551027249580234,0.298385515071737,0.265932775871628,1.21359929048626
"4",2011 Aug,32.3662367922753,8.11473834284852,6.87667995867437,14.676527793714,0.731052343399476,0.317383311080425,0.331800894663523,1.15071393443619
"5",2011 Sep,33.8601845143097,9.10708078773079,6.13747823355394,15.6691331412964,1.31328776029977,0.334272729678294,0.481999386418685,0.793924871457021
"6",2011 Oct,35.3111671379543,11.5375941285948,5.66727849303457,14.9395432145759,1.58112993898076,0.337984424482461,0.579507782643771,0.579431448480493
"7",2011 Nov,38.9527947907079,16.9877782079999,6.06123945285394,12.7759040208812,1.61317218146738,0.350748040479463,0.55965780157599,0.574241651293337
"8",2011 Dec,39.6519963665919,17.3782248949553,6.98301847579757,10.417949143115,2.01866245885078,0.3857529405407,0.722259775890729,1.70262556185722
"9",2012 Jan,40.4425796298521,17.4460357330426,7.6690997517873,10.6121688977789,1.72420590285287,0.335662836126892,0.714084661338023,1.87734743291106
"10",2012 Feb,43.4207692406474,20.2389560036993,8.34166923373386,11.1628722589029,1.63231882395767,0.386437576169625,0.558283505573718,0.322258567103395
"11",2012 Mar,37.856107409634,18.4192066416917,6.3173431662626,9.55197322655765,1.14871017466815,0.360238790426915,0.423922506462047,1.24268325393247
"12",2012 Apr,36.1052115968856,16.0137768906191,8.05665051100563,8.84202971333608,1.08370183871902,0.287733562605554,0.211859403054111,1.27594047924136
"13",2012 May,34.6728155894271,13.522918310706,7.92919437725771,10.1224728070852,0.946637983492063,0.303530171894641,0.211838030218414,1.23201589917458
"14",2012 Jun,32.559764733848,11.5891896596104,7.81501925428204,10.1063720064344,1.09785474039139,0.31856875980309,0.171205024029404,1.15496665402053
"15",2012 Jul,32.357949229422,11.9501183625962,7.15766807654711,9.83961446506003,0.804470479453342,0.311150723268667,0.221174094386796,1.86129553130561
"16",2012 Aug,32.2547481566834,11.5629486908433,8.22518332636833,8.81544798512715,1.00035335889101,0.320791717010711,0.235604023535008,1.85016733069271
"17",2012 Sep,33.3351902603859,13.8158858187814,7.53872117968108,6.81863172690364,1.94381187280956,0.309342137321624,0.353538132594359,2.23917806058592
"18",2012 Oct,36.3103212561968,17.0236790920124,6.78247158704823,9.04346549427912,1.31234478868647,0.332687085508641,0.386377124683955,1.14587794096244
"19",2012 Nov,39.4406836940023,18.0494445533858,6.50616383411431,9.72460707291021,2.05979067039225,0.377399953999988,0.523639479481943,1.90768616155539
